Unnamed: 0,RubroN3,FechaCreacion,cantidad,totalLineaNeto,mes_año_x,PIB,IPC,IMACEC
3503,"Productos de chocolates, azúcares y edulcorantes",2013-05-31,3985357.8,109197479.5008664,2013-05,41321.580759714,1.3,82.262492545453
3633,Productos de confitería,2013-05-31,87111.0,38206258.332485616,2013-05,41321.580759714,1.3,82.262492545453
3764,Productos de leche y mantequilla,2013-05-31,90205816.71,1443989563.0123224,2013-05,41321.580759714,1.3,82.262492545453
3890,"Productos, suministros y accesorios para tabaco",2013-05-31,10129.0,2091795.84,2013-05,41321.580759714,1.3,82.262492545453
4021,Quesos,2013-05-31,46341.17,107302378.0038671,2013-05,41321.580759714,1.3,82.262492545453
4149,"Salmuera, salsas y aceitunas",2013-05-31,51534.272,111986309.086347,2013-05,41321.580759714,1.3,82.262492545453
4280,"Salsas, condimentos y productos para untar",2013-05-31,45597.76,23874742.211050536,2013-05,41321.580759714,1.3,82.262492545453
4412,Sandwiches y panecillos con relleno,2013-05-31,79370.1,30005916.72043124,2013-05,41321.580759714,1.3,82.262492545453
4539,Sopas y estofados,2013-05-31,14871.0,33026855.6818135,2013-05,41321.580759714,1.3,82.262492545453
4666,Suministros y mezclas para hacer al horno,2013-05-31,7083.5,18906856.838087045,2013-05,41321.580759714,1.3,82.262492545453
4793,Tabaco y substitutos,2013-05-31,12162.0,69243494.0159975,2013-05,41321.580759714,1.3,82.262492545453
4920,"Tartas, empanadas y pastas",2013-05-31,144424.62,165641496.4749572,2013-05,41321.580759714,1.3,82.262492545453
5048,Tentempiés,2013-05-31,8483.0,11421049.378133705,2013-05,41321.580759714,1.3,82.262492545453
5184,Verduras,2013-05-31,1912935.395,1225343523.2090418,2013-05,41321.580759714,1.3,82.262492545453
5311,Vinagres y vinos de cocinar,2013-05-31,1394.0,617885.0275,2013-05,41321.580759714,1.3,82.262492545453
8,Aceites vegetales y grasas comestibles,2013-06-30,43721.0,97481377.9619524,2013-06,41321.580759714,1.5,92.909133250737
136,Acompañamientos preparados,2013-06-30,27490.5,62120581.32586251,2013-06,41321.580759714,1.5,92.909133250737
264,Bebidas alcohólicas,2013-06-30,14907.96,48649050.7214,2013-06,41321.580759714,1.5,92.909133250737
393,Bebidas no alcohólicas,2013-06-30,398187.567,242741490.6334909,2013-06,41321.580759714,1.5,92.909133250737
521,Bebidas y comidas infantiles,2013-06-30,16477.0,25351656.86440853,2013-06,41321.580759714,1.5,92.909133250737
650,Café y té,2013-06-30,66217.0,113457488.1579293,2013-06,41321.580759714,1.5,92.909133250737
785,Carnes procesadas y preparadas,2013-06-30,91136.9989135506,259731638.69840863,2013-06,41321.580759714,1.5,92.909133250737
920,Carnes y aves de corral,2013-06-30,755936.22335,1360993434.8523493,2013-06,41321.580759714,1.5,92.909133250737
1048,Cereales,2013-06-30,356795.97,203460146.2582129,2013-06,41321.580759714,1.5,92.909133250737
1175,Cereales procesados,2013-06-30,50449.0,23305902.791573018,2013-06,41321.580759714,1.5,92.909133250737
1302,"Empanadas, tartas y pies",2013-06-30,44201.0,25601452.0905135,2013-06,41321.580759714,1.5,92.909133250737
1428,Ensaladas preparadas,2013-06-30,156.0,56053.865546218,2013-06,41321.580759714,1.5,92.909133250737
1563,Frutas,2013-06-30,373083.5909,200527419.36491352,2013-06,41321.580759714,1.5,92.909133250737
1691,Frutos secos,2013-06-30,18550.605,8416578.810621005,2013-06,41321.580759714,1.5,92.909133250737
1818,Grasas y aceites animales comestibles,2013-06-30,1149.0,1214317.86708592,2013-06,41321.580759714,1.5,92.909133250737
1947,"Hierbas, especias y extractos",2013-06-30,179997.35,53068357.07457992,2013-06,41321.580759714,1.5,92.909133250737
2081,Huevos y sustitutos,2013-06-30,303523.028,38692364.28096643,2013-06,41321.580759714,1.5,92.909133250737
2222,"Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2013-06-30,72425.5,33964680.366189234,2013-06,41321.580759714,1.5,92.909133250737
2349,Legumbres,2013-06-30,37471.5,77474151.75787465,2013-06,41321.580759714,1.5,92.909133250737
2476,Mariscos frescos,2013-06-30,8680.49,28068189.40045447,2013-06,41321.580759714,1.5,92.909133250737
2603,Materiales y mezclas instantáneas,2013-06-30,56241.0,54384400.9504,2013-06,41321.580759714,1.5,92.909133250737
2737,"Pan, galletas y pastelitos dulces",2013-06-30,926369.1387411,572189718.559016,2013-06,41321.580759714,1.5,92.909133250737
2864,Pasta o tallarines naturales,2013-06-30,80264.0,148743054.7968341,2013-06,41321.580759714,1.5,92.909133250737
2993,Pescados,2013-06-30,36012.076,121271888.97557697,2013-06,41321.580759714,1.5,92.909133250737
